TRAIN DEVICE,TEST DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
737E_Security_Cam,737E_Security_Cam,mirai,RFR,1.0,1.0,1.0,1.0,0,0
737E_Security_Cam,838_Security_Cam,mirai,RFR,0.9999,0.9999,0.9998,0.9999,45,0
737E_Security_Cam,1002_Security_Cam,mirai,RFR,0.9975,0.9985,0.9852,0.9917,1379,14
737E_Security_Cam,1003_Security_Cam,mirai,RFR,1.0,0.9995,0.9999,0.9997,4,20
838_Security_Cam,Danmini_Doorbell,mirai,RFR,1.0,0.9999,1.0,1.0,0,8
838_Security_Cam,Ecobee_Thermostat,mirai,RFR,0.9997,0.9932,0.9998,0.9965,0,181
838_Security_Cam,B120N10_Baby_Mon,mirai,RFR,1.0,1.0,1.0,1.0,2,15
838_Security_Cam,737E_Security_Cam,mirai,RFR,0.9999,0.9996,0.9999,0.9998,0,53
838_Security_Cam,838_Security_Cam,mirai,RFR,1.0,1.0,1.0,1.0,0,0
838_Security_Cam,1002_Security_Cam,mirai,RFR,1.0,0.9998,1.0,0.9999,0,21
838_Security_Cam,1003_Security_Cam,mirai,RFR,0.9999,0.9993,0.9999,0.9996,4,27
1002_Security_Cam,Danmini_Doorbell,mirai,RFR,1.0,1.0,1.0,1.0,0,0
